Tweets,Username,Created_at,User location,Coordinates
Visit Again Pelagia #crete #kreta #greece #creteisland #heraklion #agiapelagia #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler … https://www. instagram.com/p/BodXr1_HhuT/ ?utm_source=ig_twitter_share&igshid=6o0wdqhequ7 …,henrick@gm,10/3/2018 8:17,"London,UK",-
One of my favorite shots! #crete #kreta #greece #creteisland #spinalonga #agiosnikolaos #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling … https://www. instagram.com/p/BobR-z_n2KW/ ?utm_source=ig_twitter_share&igshid=7refigcgcnrj …,henrick@gm,10/2/2018 12:48,"London,UK",-
Alguien sabe qué flor es esta tan espectacular? Vistas en varios sitios de Creta. #flores #flor #flower #botánica #botanic #sinfiltros #Chaniá #LaCanea #creta #crete #creteisland #cretegreece #welovecrete #allincrete #Creta https:// ift.tt/2Nj2eai pic.twitter.com/sS6Bq3CA3A,henrick@gm,10/2/2018 10:05,"London,UK",-
The person behind... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/BoayKG2CHql/ ?utm_source=ig_twitter_share&igshid=1iat5l60qt0oy …,henrick@gm,10/2/2018 8:10,"London,UK",-
#firstofoctober #crete #crete #cretegreece #creteisland #creta #cretasea #lasithi #lasithicrete #finolalias #skinias #neapolis #mirabello #agiosnikolaos #elounda #elounda #plaka … https://www. instagram.com/p/BoZNgKwn0-P/ ?utm_source=ig_twitter_share&igshid=1qotqvtohant6 …,henrick@gm,10/1/2018 17:31,"London,UK",-
A drones eye view of _villaella_ in #Crete #creteisland #welovecrete #allincrete #drone #dji #phantom4 #holiday #summer @Eloúnda,henrick@gm,10/1/2018 17:07,"London,UK",-
A piece of heaven. #crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/BoYjXSpgVJv/ ?utm_source=ig_twitter_share&igshid=18udurz0gszzi …,henrick@gm,10/1/2018 11:22,"London,UK",-
New Start... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/BoYN0ZAldP0/ ?utm_source=ig_twitter_share&igshid=7s47goqyex49 …,henrick@gm,10/1/2018 8:14,"London,UK",-
Time to relax #crete #kreta #greece #creteisland #heraklion #rogdia #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler … https://www. instagram.com/p/BoW_HdXgNnH/ ?utm_source=ig_twitter_share&igshid=1vq7jg09skhp0 …,henrick@gm,9/30/2018 20:46,"London,UK",-
Time to rest #crete #kreta #greece #creteisland #heraklion #agiapelagia #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler … https://www. instagram.com/p/BoWqr2wiVtQ/ ?utm_source=ig_twitter_share&igshid=1pgtqa11qgdxg …,henrick@gm,9/30/2018 17:48,"London,UK",-
#SV9OE6YRG #CreteIsland #dx SV9/OE6YRG - Crete Island - Forums https:// dxnews.com/forum/forum/am ateur-radio-trips/4700-sv9-oe6yrg-crete-island … SV9/OE6YRG on 14260 now,henrick@gm,9/30/2018 15:18,"London,UK",-
#SV9OE6YRG #CreteIsland #dx SV9/OE6YRG - Crete Island - Forums https:// dxnews.com/forum/forum/am ateur-radio-trips/4700-sv9-oe6yrg-crete-island … SV9/OE6YRG on 14260 now,henrick@gm,9/30/2018 15:14,"London,UK",-
The edge... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #rethymnon #rethymno #amateurphotography … https://www. instagram.com/p/BoV64kclVQV/ ?utm_source=ig_twitter_share&igshid=1epgm8c1mtpid …,henrick@gm,9/30/2018 10:50,"London,UK",-
